category	author	source	rating	sourcetype	rights	year	sourceid	title	body	rightsowner	webpage	minortitle	sourcelink	authorlink	dateadded	authorinfo	itemid	publisher	city	pages	authorfilename	authorwikimediapage	authorlastnamefirst	authorlastnamestrong	linkedtags	linkedtags2	sourceline	rightsline
thinking	Margery Allingham	Dancers In Mourning	3	Book	Copyright	1934	1933397985	A Dark Procession	<p> Mercer did not think at all in the accepted sense of the word. Ideas occurred to him and engendered other ideas. But the process which linked any two of them was a dark procession taking place in some subconscious part of the brain. </p>	Doubleday and Company, Inc.					2008-05-21T19:25:38-07:00		3				margery-allingham	Margery_Allingham	Allingham, Margery	Margery <strong>Allingham</strong>	thinking.html	thinking.html	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Dancers In Mourning</cite>, <span class='datepublished'>1934</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/1933397985/portablewisdo-20' class='isbn'>1933397985</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>1934</span> by <span class='rightsowner'>Doubleday and Company, Inc.</span>
Modernity	Margery Allingham	Dancers In Mourning	3	Book	Copyright	1934	1933397985	The Sanctity and Importance of Sudden Death	<p> ... in an age when all the deepest emotions can be successfully laughed out of existence by any decently educated person, the sanctity and importance of sudden death was a comforting and salutary thing, a last little rock, as it were, in the shifty sands of one's own standards and desires. </p>	Doubleday and Company, Inc.					2008-05-21T19:15:37-07:00		7				margery-allingham	Margery_Allingham	Allingham, Margery	Margery <strong>Allingham</strong>	modernity.html	modernity.html	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Dancers In Mourning</cite>, <span class='datepublished'>1934</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/1933397985/portablewisdo-20' class='isbn'>1933397985</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>1934</span> by <span class='rightsowner'>Doubleday and Company, Inc.</span>
Mystery Fiction	Margery Allingham	Dancers In Mourning	3	Book	Copyright	1934	1933397985	The Sanctity and Importance of Sudden Death	<p> ... in an age when all the deepest emotions can be successfully laughed out of existence by any decently educated person, the sanctity and importance of sudden death was a comforting and salutary thing, a last little rock, as it were, in the shifty sands of one's own standards and desires. </p>	Doubleday and Company, Inc.					2008-05-21T19:15:37-07:00		7				margery-allingham	Margery_Allingham	Allingham, Margery	Margery <strong>Allingham</strong>	mystery-fiction.html	mystery-fiction.html	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Dancers In Mourning</cite>, <span class='datepublished'>1934</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/1933397985/portablewisdo-20' class='isbn'>1933397985</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>1934</span> by <span class='rightsowner'>Doubleday and Company, Inc.</span>
Pagan Tuna	Margery Allingham	Dancers In Mourning	3	Book	Copyright	1934	1933397985	The Sanctity and Importance of Sudden Death	<p> ... in an age when all the deepest emotions can be successfully laughed out of existence by any decently educated person, the sanctity and importance of sudden death was a comforting and salutary thing, a last little rock, as it were, in the shifty sands of one's own standards and desires. </p>	Doubleday and Company, Inc.					2008-05-21T19:15:37-07:00		7				margery-allingham	Margery_Allingham	Allingham, Margery	Margery <strong>Allingham</strong>	pagan-tuna.html	pagan-tuna.html	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Dancers In Mourning</cite>, <span class='datepublished'>1934</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/1933397985/portablewisdo-20' class='isbn'>1933397985</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>1934</span> by <span class='rightsowner'>Doubleday and Company, Inc.</span>
Apple	Apple	The Oft Unhappy Marriage of Apple and AT&amp;T	3	unknown	Copyright	July 19, 2010		We don't even own suits	<p> When an AT&amp;T rep suggested Jobs wear a suit to meet with AT&amp;T's CEO, the deputy replied, &#8220;We're Apple. We don't wear suits. We don't even own suits.&#8221; </p>	Mansueto Ventures	http://www.fastcompany.com/1671854/the-oft-unhappy-marriage-of-apple-and-att-were-apple-we-dont-wear-suits		http://www.fastcompany.com/1671854/the-oft-unhappy-marriage-of-apple-and-att-were-apple-we-dont-wear-suits		2011-08-01T12:36:08-07:00		8	Fast Company	New York		apple	Apple	Apple	<strong>Apple</strong>	apple.html	apple.html	<cite class='majortitle'><a href='http://www.fastcompany.com/1671854/the-oft-unhappy-marriage-of-apple-and-att-were-apple-we-dont-wear-suits' rel='source'>The Oft Unhappy Marriage of Apple and AT&amp;T</a></cite>, <span class='city'>New York</span>: <span class='publisher'>Fast Company</span>, <span class='datepublished'>July 19, 2010</span>	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>July 19, 2010</span> by <span class='rightsowner'>Mansueto Ventures</span>
Culture	Apple	The Oft Unhappy Marriage of Apple and AT&amp;T	3	unknown	Copyright	July 19, 2010		We don't even own suits	<p> When an AT&amp;T rep suggested Jobs wear a suit to meet with AT&amp;T's CEO, the deputy replied, &#8220;We're Apple. We don't wear suits. We don't even own suits.&#8221; </p>	Mansueto Ventures	http://www.fastcompany.com/1671854/the-oft-unhappy-marriage-of-apple-and-att-were-apple-we-dont-wear-suits		http://www.fastcompany.com/1671854/the-oft-unhappy-marriage-of-apple-and-att-were-apple-we-dont-wear-suits		2011-08-01T12:36:08-07:00		8	Fast Company	New York		apple	Apple	Apple	<strong>Apple</strong>	culture.html	culture.html	<cite class='majortitle'><a href='http://www.fastcompany.com/1671854/the-oft-unhappy-marriage-of-apple-and-att-were-apple-we-dont-wear-suits' rel='source'>The Oft Unhappy Marriage of Apple and AT&amp;T</a></cite>, <span class='city'>New York</span>: <span class='publisher'>Fast Company</span>, <span class='datepublished'>July 19, 2010</span>	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>July 19, 2010</span> by <span class='rightsowner'>Mansueto Ventures</span>
Pagan Tuna	Apple	The Oft Unhappy Marriage of Apple and AT&amp;T	3	unknown	Copyright	July 19, 2010		We don't even own suits	<p> When an AT&amp;T rep suggested Jobs wear a suit to meet with AT&amp;T's CEO, the deputy replied, &#8220;We're Apple. We don't wear suits. We don't even own suits.&#8221; </p>	Mansueto Ventures	http://www.fastcompany.com/1671854/the-oft-unhappy-marriage-of-apple-and-att-were-apple-we-dont-wear-suits		http://www.fastcompany.com/1671854/the-oft-unhappy-marriage-of-apple-and-att-were-apple-we-dont-wear-suits		2011-08-01T12:36:08-07:00		8	Fast Company	New York		apple	Apple	Apple	<strong>Apple</strong>	pagan-tuna.html	pagan-tuna.html	<cite class='majortitle'><a href='http://www.fastcompany.com/1671854/the-oft-unhappy-marriage-of-apple-and-att-were-apple-we-dont-wear-suits' rel='source'>The Oft Unhappy Marriage of Apple and AT&amp;T</a></cite>, <span class='city'>New York</span>: <span class='publisher'>Fast Company</span>, <span class='datepublished'>July 19, 2010</span>	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>July 19, 2010</span> by <span class='rightsowner'>Mansueto Ventures</span>
Practopian	Apple	The Oft Unhappy Marriage of Apple and AT&amp;T	3	unknown	Copyright	July 19, 2010		We don't even own suits	<p> When an AT&amp;T rep suggested Jobs wear a suit to meet with AT&amp;T's CEO, the deputy replied, &#8220;We're Apple. We don't wear suits. We don't even own suits.&#8221; </p>	Mansueto Ventures	http://www.fastcompany.com/1671854/the-oft-unhappy-marriage-of-apple-and-att-were-apple-we-dont-wear-suits		http://www.fastcompany.com/1671854/the-oft-unhappy-marriage-of-apple-and-att-were-apple-we-dont-wear-suits		2011-08-01T12:36:08-07:00		8	Fast Company	New York		apple	Apple	Apple	<strong>Apple</strong>	practopian.html	practopian.html	<cite class='majortitle'><a href='http://www.fastcompany.com/1671854/the-oft-unhappy-marriage-of-apple-and-att-were-apple-we-dont-wear-suits' rel='source'>The Oft Unhappy Marriage of Apple and AT&amp;T</a></cite>, <span class='city'>New York</span>: <span class='publisher'>Fast Company</span>, <span class='datepublished'>July 19, 2010</span>	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>July 19, 2010</span> by <span class='rightsowner'>Mansueto Ventures</span>
Decisions	Chris Argyris and Donald Schön	Theory in Practice: Increasing Personal Effectiveness	3	Book	Copyright	1974	1555424465	Model II Decision-Making	<p> Model II encourages the individual to maximize his uniqueness. If, in doing so, he should arrive at goals that differ from those developed by others, he will have done so under conditions of openness, trust and risk-taking. The individual would therefore feel free to discuss his differences openly with the group. Moreover, if the individual is in a subordinate power position, and if he feels he had adequate opportunity to dissuade the group and that the group publicly confronted and tested all differences, then the individual will probably be motivated to work toward the group goal but still be motivated to generate new information that may change the group's decision. This means that one can be externally committed to a decision and internally committed to the decision-making processes that produced the decision yet simultaneously monitor the consequences of the decision thoroughly to seek new, valid information to reconfront the decision without being considered disloyal. In the model-II world, conflicts do not disappear&#8212;indeed, the illusion of conflict disappearing is more typical of the model-I world, in which conflicts are settled by power plays based on sanctions, charisma or loyalty. </p>	John Wiley &amp; Sons, Inc.					2008-10-18T11:12:38-07:00		9	Jossey-Bass Publishers	San Francisco	103	chris-argyris-and-donald-schn	Chris_Argyris_and_Donald_Schön	Argyris, Chris and Schön, Donald	Chris <strong>Argyris</strong> and Donald <strong>Schön</strong>	decisions.html	decisions.html	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Theory in Practice: Increasing Personal Effectiveness</cite>, <span class='city'>San Francisco</span>: <span class='publisher'>Jossey-Bass Publishers</span>, <span class='datepublished'>1974</span>, page&nbsp;<span class='pages'>103</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/1555424465/portablewisdo-20' class='isbn'>1555424465</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>1974</span> by <span class='rightsowner'>John Wiley &amp;amp; Sons, Inc.</span>
Pagan Tuna	Chris Argyris and Donald Schön	Theory in Practice: Increasing Personal Effectiveness	3	Book	Copyright	1974	1555424465	Model II Decision-Making	<p> Model II encourages the individual to maximize his uniqueness. If, in doing so, he should arrive at goals that differ from those developed by others, he will have done so under conditions of openness, trust and risk-taking. The individual would therefore feel free to discuss his differences openly with the group. Moreover, if the individual is in a subordinate power position, and if he feels he had adequate opportunity to dissuade the group and that the group publicly confronted and tested all differences, then the individual will probably be motivated to work toward the group goal but still be motivated to generate new information that may change the group's decision. This means that one can be externally committed to a decision and internally committed to the decision-making processes that produced the decision yet simultaneously monitor the consequences of the decision thoroughly to seek new, valid information to reconfront the decision without being considered disloyal. In the model-II world, conflicts do not disappear&#8212;indeed, the illusion of conflict disappearing is more typical of the model-I world, in which conflicts are settled by power plays based on sanctions, charisma or loyalty. </p>	John Wiley &amp; Sons, Inc.					2008-10-18T11:12:38-07:00		9	Jossey-Bass Publishers	San Francisco	103	chris-argyris-and-donald-schn	Chris_Argyris_and_Donald_Schön	Argyris, Chris and Schön, Donald	Chris <strong>Argyris</strong> and Donald <strong>Schön</strong>	pagan-tuna.html	pagan-tuna.html	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Theory in Practice: Increasing Personal Effectiveness</cite>, <span class='city'>San Francisco</span>: <span class='publisher'>Jossey-Bass Publishers</span>, <span class='datepublished'>1974</span>, page&nbsp;<span class='pages'>103</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/1555424465/portablewisdo-20' class='isbn'>1555424465</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>1974</span> by <span class='rightsowner'>John Wiley &amp;amp; Sons, Inc.</span>
Practopian	Chris Argyris and Donald Schön	Theory in Practice: Increasing Personal Effectiveness	3	Book	Copyright	1974	1555424465	Model II Decision-Making	<p> Model II encourages the individual to maximize his uniqueness. If, in doing so, he should arrive at goals that differ from those developed by others, he will have done so under conditions of openness, trust and risk-taking. The individual would therefore feel free to discuss his differences openly with the group. Moreover, if the individual is in a subordinate power position, and if he feels he had adequate opportunity to dissuade the group and that the group publicly confronted and tested all differences, then the individual will probably be motivated to work toward the group goal but still be motivated to generate new information that may change the group's decision. This means that one can be externally committed to a decision and internally committed to the decision-making processes that produced the decision yet simultaneously monitor the consequences of the decision thoroughly to seek new, valid information to reconfront the decision without being considered disloyal. In the model-II world, conflicts do not disappear&#8212;indeed, the illusion of conflict disappearing is more typical of the model-I world, in which conflicts are settled by power plays based on sanctions, charisma or loyalty. </p>	John Wiley &amp; Sons, Inc.					2008-10-18T11:12:38-07:00		9	Jossey-Bass Publishers	San Francisco	103	chris-argyris-and-donald-schn	Chris_Argyris_and_Donald_Schön	Argyris, Chris and Schön, Donald	Chris <strong>Argyris</strong> and Donald <strong>Schön</strong>	practopian.html	practopian.html	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Theory in Practice: Increasing Personal Effectiveness</cite>, <span class='city'>San Francisco</span>: <span class='publisher'>Jossey-Bass Publishers</span>, <span class='datepublished'>1974</span>, page&nbsp;<span class='pages'>103</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/1555424465/portablewisdo-20' class='isbn'>1555424465</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>1974</span> by <span class='rightsowner'>John Wiley &amp;amp; Sons, Inc.</span>
Values	Chris Argyris and Donald Schön	Theory in Practice: Increasing Personal Effectiveness	3	Book	Copyright	1974	1555424465	Model II Values	<p> Clearly, Model II touches on values that are central to social life and to the traditions of moral philosophy: freedom of choice, truth and testability, the nature of commitment, the possibilities for and limitations on openness in communication among individuals, the basis for trust and cooperation among human beings, the sources of long-term personal effectiveness. </p>	John Wiley &amp; Sons, Inc.					2008-10-16T20:49:39-07:00		10	Jossey-Bass Publishers	San Francisco	xxiv	chris-argyris-and-donald-schn	Chris_Argyris_and_Donald_Schön	Argyris, Chris and Schön, Donald	Chris <strong>Argyris</strong> and Donald <strong>Schön</strong>	values.html	values.html	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Theory in Practice: Increasing Personal Effectiveness</cite>, <span class='city'>San Francisco</span>: <span class='publisher'>Jossey-Bass Publishers</span>, <span class='datepublished'>1974</span>, page&nbsp;<span class='pages'>xxiv</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/1555424465/portablewisdo-20' class='isbn'>1555424465</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>1974</span> by <span class='rightsowner'>John Wiley &amp;amp; Sons, Inc.</span>
Pagan Tuna	Chris Argyris and Donald Schön	Theory in Practice: Increasing Personal Effectiveness	3	Book	Copyright	1974	1555424465	Model II Values	<p> Clearly, Model II touches on values that are central to social life and to the traditions of moral philosophy: freedom of choice, truth and testability, the nature of commitment, the possibilities for and limitations on openness in communication among individuals, the basis for trust and cooperation among human beings, the sources of long-term personal effectiveness. </p>	John Wiley &amp; Sons, Inc.					2008-10-16T20:49:39-07:00		10	Jossey-Bass Publishers	San Francisco	xxiv	chris-argyris-and-donald-schn	Chris_Argyris_and_Donald_Schön	Argyris, Chris and Schön, Donald	Chris <strong>Argyris</strong> and Donald <strong>Schön</strong>	pagan-tuna.html	pagan-tuna.html	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Theory in Practice: Increasing Personal Effectiveness</cite>, <span class='city'>San Francisco</span>: <span class='publisher'>Jossey-Bass Publishers</span>, <span class='datepublished'>1974</span>, page&nbsp;<span class='pages'>xxiv</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/1555424465/portablewisdo-20' class='isbn'>1555424465</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>1974</span> by <span class='rightsowner'>John Wiley &amp;amp; Sons, Inc.</span>
Practopian	Chris Argyris and Donald Schön	Theory in Practice: Increasing Personal Effectiveness	3	Book	Copyright	1974	1555424465	Model II Values	<p> Clearly, Model II touches on values that are central to social life and to the traditions of moral philosophy: freedom of choice, truth and testability, the nature of commitment, the possibilities for and limitations on openness in communication among individuals, the basis for trust and cooperation among human beings, the sources of long-term personal effectiveness. </p>	John Wiley &amp; Sons, Inc.					2008-10-16T20:49:39-07:00		10	Jossey-Bass Publishers	San Francisco	xxiv	chris-argyris-and-donald-schn	Chris_Argyris_and_Donald_Schön	Argyris, Chris and Schön, Donald	Chris <strong>Argyris</strong> and Donald <strong>Schön</strong>	practopian.html	practopian.html	the <span class='sourcetype'>Book</span> <cite class='majortitle'>Theory in Practice: Increasing Personal Effectiveness</cite>, <span class='city'>San Francisco</span>: <span class='publisher'>Jossey-Bass Publishers</span>, <span class='datepublished'>1974</span>, page&nbsp;<span class='pages'>xxiv</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/1555424465/portablewisdo-20' class='isbn'>1555424465</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>1974</span> by <span class='rightsowner'>John Wiley &amp;amp; Sons, Inc.</span>
Pagan Tuna	Aristotle	unknown	3	unknown				Entertain a Thought	<p> It is the mark of an educated mind to be able to entertain a thought without accepting it. </p>						2006-11-30T14:29:31-08:00		11				aristotle	Aristotle	Aristotle	<strong>Aristotle</strong>	pagan-tuna.html	pagan-tuna.html		
Practopian	Aristotle	unknown	3	unknown				Entertain a Thought	<p> It is the mark of an educated mind to be able to entertain a thought without accepting it. </p>						2006-11-30T14:29:31-08:00		11				aristotle	Aristotle	Aristotle	<strong>Aristotle</strong>	practopian.html	practopian.html		
thinking	Aristotle	unknown	3	unknown				Entertain a Thought	<p> It is the mark of an educated mind to be able to entertain a thought without accepting it. </p>						2006-11-30T14:29:31-08:00		11				aristotle	Aristotle	Aristotle	<strong>Aristotle</strong>	thinking.html	thinking.html		
Wholeness	Angeles Arrien	The Four-Fold Way	3	Book	Copyright	1993	0062500597	The Four-Fold Way	<p> The following four principles, each based on an archetype, comprise what I call the Four-Fold Way: </p> <p> 1. <em>Show up, or choose to be present.</em> Being present allows us to access the human resources of power, presence, and communication. This is the way of the Warrior. </p> <p> 2. <em>Pay attention to what has heart and meaning.</em> Paying attention opens us to the human resources of love, gratitude, acknowledgment, and validation. This is the way of the Healer. </p> <p> 3. <em>Tell the truth without blame or judgment.</em> Nonjudgmental truthfulness maintains our authenticity, and develops our inner vision and intuition. This is the way of the Visionary. </p> <p> 4. <em>Be open to outcome, not attached to outcome.</em> Openness and nonattachment help us to recover the human resources of wisdom and objectivity. This is the way of the Teacher. </p>	Angeles Arrien					2007-11-06T07:00:58-08:00		12				angeles-arrien	Angeles_Arrien	Arrien, Angeles	Angeles <strong>Arrien</strong>	wholeness.html	wholeness.html	the <span class='sourcetype'>Book</span> <cite class='majortitle'>The Four-Fold Way</cite>, <span class='datepublished'>1993</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0062500597/portablewisdo-20' class='isbn'>0062500597</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>1993</span> by <span class='rightsowner'>Angeles Arrien</span>
Pagan Tuna	Angeles Arrien	The Four-Fold Way	3	Book	Copyright	1993	0062500597	The Four-Fold Way	<p> The following four principles, each based on an archetype, comprise what I call the Four-Fold Way: </p> <p> 1. <em>Show up, or choose to be present.</em> Being present allows us to access the human resources of power, presence, and communication. This is the way of the Warrior. </p> <p> 2. <em>Pay attention to what has heart and meaning.</em> Paying attention opens us to the human resources of love, gratitude, acknowledgment, and validation. This is the way of the Healer. </p> <p> 3. <em>Tell the truth without blame or judgment.</em> Nonjudgmental truthfulness maintains our authenticity, and develops our inner vision and intuition. This is the way of the Visionary. </p> <p> 4. <em>Be open to outcome, not attached to outcome.</em> Openness and nonattachment help us to recover the human resources of wisdom and objectivity. This is the way of the Teacher. </p>	Angeles Arrien					2007-11-06T07:00:58-08:00		12				angeles-arrien	Angeles_Arrien	Arrien, Angeles	Angeles <strong>Arrien</strong>	pagan-tuna.html	pagan-tuna.html	the <span class='sourcetype'>Book</span> <cite class='majortitle'>The Four-Fold Way</cite>, <span class='datepublished'>1993</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0062500597/portablewisdo-20' class='isbn'>0062500597</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>1993</span> by <span class='rightsowner'>Angeles Arrien</span>
Practopian	Angeles Arrien	The Four-Fold Way	3	Book	Copyright	1993	0062500597	The Four-Fold Way	<p> The following four principles, each based on an archetype, comprise what I call the Four-Fold Way: </p> <p> 1. <em>Show up, or choose to be present.</em> Being present allows us to access the human resources of power, presence, and communication. This is the way of the Warrior. </p> <p> 2. <em>Pay attention to what has heart and meaning.</em> Paying attention opens us to the human resources of love, gratitude, acknowledgment, and validation. This is the way of the Healer. </p> <p> 3. <em>Tell the truth without blame or judgment.</em> Nonjudgmental truthfulness maintains our authenticity, and develops our inner vision and intuition. This is the way of the Visionary. </p> <p> 4. <em>Be open to outcome, not attached to outcome.</em> Openness and nonattachment help us to recover the human resources of wisdom and objectivity. This is the way of the Teacher. </p>	Angeles Arrien					2007-11-06T07:00:58-08:00		12				angeles-arrien	Angeles_Arrien	Arrien, Angeles	Angeles <strong>Arrien</strong>	practopian.html	practopian.html	the <span class='sourcetype'>Book</span> <cite class='majortitle'>The Four-Fold Way</cite>, <span class='datepublished'>1993</span>, ISBN&nbsp;<a href='http://www.amazon.com/exec/obidos/ASIN/0062500597/portablewisdo-20' class='isbn'>0062500597</a> 	<span class='rights'>Copyright</span> &copy; <span class='datepublished'>1993</span> by <span class='rightsowner'>Angeles Arrien</span>
